prune_ratio,batch,seq_len,layer_type,time_ms,time_pct,throughput_tok_s,peak_vram_mb
10,16,2048,total,3157.185546875,100.0,10364.86598461677,28911.0
10,16,4096,attention,2330.223602294922,35.22,9895.954902820107,43271.2
10,16,4096,ffn,3228.0299682617188,48.78,9895.954902820107,43271.2
10,16,4096,other,1058.6429138183594,16.0,9895.954902820107,43271.2
10,16,4096,total,6616.896484375,100.0,9895.954902820107,43271.2
20,1,512,attention,32.07270383834839,42.77,9076.05752703067,13695.1
20,1,512,ffn,24.826880156993866,33.11,9076.05752703067,13695.1
20,1,512,other,18.0920313000679,24.13,9076.05752703067,13695.1
20,1,512,total,74.99161529541016,100.0,9076.05752703067,13695.1
20,1,2048,attention,72.28313660621643,35.88,10296.01016332056,14368.2
20,1,2048,ffn,91.406334400177,45.37,10296.01016332056,14368.2
20,1,2048,other,37.77433514595032,18.75,10296.01016332056,14368.2
20,1,2048,total,201.46380615234375,100.0,10296.01016332056,14368.2
20,1,4096,attention,152.6056957244873,38.29,10325.91166064581,15265.8
20,1,4096,ffn,178.1022720336914,44.69,10325.91166064581,15265.8
20,1,4096,other,67.82157325744629,17.02,10325.91166064581,15265.8
20,1,4096,total,398.529541015625,100.0,10325.91166064581,15265.8
20,4,512,attention,65.81760013103485,33.74,10646.112917177123,14368.2
20,4,512,ffn,91.84460639953613,47.09,10646.112917177123,14368.2
20,4,512,other,37.385217785835266,19.17,10646.112917177123,14368.2
20,4,512,total,195.04742431640625,100.0,10646.112917177123,14368.2
20,4,2048,attention,268.52659034729004,35.54,10957.79349312236,17060.8
20,4,2048,ffn,353.4591979980469,46.79,10957.79349312236,17060.8
20,4,2048,other,133.50194358825684,17.67,10957.79349312236,17060.8
20,4,2048,total,755.4877319335938,100.0,10957.79349312236,17060.8
20,4,4096,attention,587.4688034057617,37.96,10617.465512231769,20650.9
20,4,4096,ffn,699.7268505096436,45.21,10617.465512231769,20650.9
20,4,4096,other,260.3684329986572,16.82,10617.465512231769,20650.9
20,4,4096,total,1547.5640869140625,100.0,10617.465512231769,20650.9
20,16,512,attention,245.49785470962524,33.56,11220.621279480129,17060.8
20,16,512,ffn,352.7260160446167,48.21,11220.621279480129,17060.8
20,16,512,other,133.36267709732056,18.23,11220.621279480129,17060.8
20,16,512,total,731.5865478515625,100.0,11220.621279480129,17060.8
20,16,2048,attention,1080.949758529663,36.36,11025.78032416113,27831.0
20,16,2048,ffn,1370.621955871582,46.11,11025.78032416113,27831.0
20,16,2048,other,521.1309223175049,17.53,11025.78032416113,27831.0
20,16,2048,total,2972.70263671875,100.0,11025.78032416113,27831.0
20,16,4096,attention,2317.432834625244,37.05,10472.592351460595,42191.2
20,16,4096,ffn,2871.5755310058594,45.91,10472.592351460595,42191.2
20,16,4096,other,1065.4403648376465,17.03,10472.592351460595,42191.2
20,16,4096,total,6254.44873046875,100.0,10472.592351460595,42191.2
30,1,512,attention,31.554560005664825,43.09,9426.669948943274,12724.0
30,1,512,ffn,23.672831892967224,32.33,9426.669948943274,12724.0
30,1,512,other,18.0019171833992,24.58,9426.669948943274,12724.0
30,1,512,total,73.22930908203125,100.0,9426.669948943274,12724.0
30,1,2048,attention,72.39372849464417,38.59,11091.516226513388,13397.1
30,1,2048,ffn,76.83584022521973,40.96,11091.516226513388,13397.1
30,1,2048,other,38.368255376815796,20.45,11091.516226513388,13397.1
30,1,2048,total,187.5978240966797,100.0,11091.516226513388,13397.1
30,1,4096,attention,152.96819257736206,40.71,10981.408443882228,14294.6
30,1,4096,ffn,154.74585580825806,41.18,10981.408443882228,14294.6
30,1,4096,other,68.04788398742676,18.11,10981.408443882228,14294.6
30,1,4096,total,375.7619323730469,100.0,10981.408443882228,14294.6
30,4,512,attention,66.31935918331146,36.65,11442.0401242022,13397.1
30,4,512,ffn,77.17273616790771,42.64,11442.0401242022,13397.1
30,4,512,other,37.475327134132385,20.71,11442.0401242022,13397.1
30,4,512,total,180.96742248535156,100.0,11442.0401242022,13397.1
30,4,2048,attention,266.53798484802246,37.77,11607.66132453251,16089.7
30,4,2048,ffn,307.1139841079712,43.52,11607.66132453251,16089.7
30,4,2048,other,132.0703821182251,18.71,11607.66132453251,16089.7
30,4,2048,total,705.7223510742188,100.0,11607.66132453251,16089.7
30,4,4096,attention,585.276421546936,40.37,11301.302610424487,19679.7
30,4,4096,ffn,605.3980178833008,41.76,11301.302610424487,19679.7
30,4,4096,other,259.0801992416382,17.87,11301.302610424487,19679.7
30,4,4096,total,1449.754638671875,100.0,11301.302610424487,19679.7
30,16,512,attention,244.8107509613037,35.7,11962.313173704782,16089.7
30,16,512,ffn,308.7237129211426,45.02,11962.313173704782,16089.7
30,16,512,other,132.2516689300537,19.28,11962.313173704782,16089.7
30,16,512,total,685.7861328125,100.0,11962.313173704782,16089.7
30,16,2048,attention,1083.241470336914,38.88,11751.157712626711,26859.9
30,16,2048,ffn,1182.1680641174316,42.43,11751.157712626711,26859.9
30,16,2048,other,520.5882682800293,18.69,11751.157712626711,26859.9
30,16,2048,total,2785.997802734375,100.0,11751.157712626711,26859.9
30,16,4096,attention,2369.331184387207,40.29,11132.34762310153,41220.1
30,16,4096,ffn,2435.005439758301,41.4,11132.34762310153,41220.1
30,16,4096,other,1076.6345672607422,18.31,11132.34762310153,41220.1
30,16,4096,total,5880.97119140625,100.0,11132.34762310153,41220.1
5,1,512,attention,31.787007987499237,40.73,8523.986486121741,15315.1
5,1,512,ffn,28.435455918312073,36.44,8523.986486121741,15315.1
5,1,512,other,17.817598044872284,22.83,8523.986486121741,15315.1
5,1,512,total,78.0400619506836,100.0,8523.986486121741,15315.1
5,1,2048,attention,72.77568030357361,33.12,9445.814227205025,15988.2
5,1,2048,ffn,108.69043302536011,49.47,9445.814227205025,15988.2
5,1,2048,other,38.236157178878784,17.4,9445.814227205025,15988.2
5,1,2048,total,219.7022705078125,100.0,9445.814227205025,15988.2
5,1,4096,attention,153.4750714302063,35.29,9470.481472977624,16885.8
5,1,4096,ffn,212.05913591384888,48.76,9470.481472977624,16885.8
5,1,4096,other,69.36267375946045,15.95,9470.481472977624,16885.8
