prune_ratio,batch,seq_len,layer_type,time_ms,time_pct,throughput_tok_s,peak_vram_mb
10,16,2048,attention,943.3548774719238,33.99,11852.935973898726,28911.0
10,16,2048,ffn,1363.196933746338,49.12,11852.935973898726,28911.0
10,16,2048,other,468.4933547973633,16.88,11852.935973898726,28911.0
10,16,2048,total,2775.045166015625,100.0,11852.935973898726,28911.0
10,16,4096,attention,2049.315845489502,35.72,11450.832592511702,43271.2
10,16,4096,ffn,2756.210693359375,48.04,11450.832592511702,43271.2
10,16,4096,other,931.967113494873,16.24,11450.832592511702,43271.2
10,16,4096,total,5737.49365234375,100.0,11450.832592511702,43271.2
20,1,512,attention,31.790079951286316,42.4,10012.01417281214,13695.1
20,1,512,ffn,23.991296231746674,32.0,10012.01417281214,13695.1
20,1,512,other,19.19897812604904,25.61,10012.01417281214,13695.1
20,1,512,total,74.98035430908203,100.0,10012.01417281214,13695.1
20,1,2048,attention,64.19148826599121,35.62,11551.945948853672,14368.2
20,1,2048,ffn,81.0567672252655,44.98,11551.945948853672,14368.2
20,1,2048,other,34.9614155292511,19.4,11551.945948853672,14368.2
20,1,2048,total,180.2096710205078,100.0,11551.945948853672,14368.2
20,1,4096,attention,135.43219184875488,38.22,11668.441304755861,15265.8
20,1,4096,ffn,155.6480016708374,43.92,11668.441304755861,15265.8
20,1,4096,other,63.30264949798584,17.86,11668.441304755861,15265.8
20,1,4096,total,354.3828430175781,100.0,11668.441304755861,15265.8
20,4,512,attention,58.93734359741211,33.49,11867.886663389134,14368.2
20,4,512,ffn,81.37318420410156,46.24,11867.886663389134,14368.2
20,4,512,other,35.658756256103516,20.26,11867.886663389134,14368.2
20,4,512,total,175.9692840576172,100.0,11867.886663389134,14368.2
20,4,2048,attention,237.7277431488037,35.7,12369.081123542966,17060.8
20,4,2048,ffn,306.373628616333,46.01,12369.081123542966,17060.8
20,4,2048,other,121.75769805908203,18.29,12369.081123542966,17060.8
20,4,2048,total,665.8590698242188,100.0,12369.081123542966,17060.8
20,4,4096,attention,518.9713897705078,38.11,12061.380543716685,20650.9
20,4,4096,ffn,609.3281307220459,44.74,12061.380543716685,20650.9
20,4,4096,other,233.4812412261963,17.15,12061.380543716685,20650.9
20,4,4096,total,1361.78076171875,100.0,12061.380543716685,20650.9
20,16,512,attention,218.6731514930725,33.85,12735.467377835605,17060.8
20,16,512,ffn,307.37100982666016,47.58,12735.467377835605,17060.8
20,16,512,other,119.97182989120483,18.57,12735.467377835605,17060.8
20,16,512,total,646.0159912109375,100.0,12735.467377835605,17060.8
20,16,2048,attention,939.5384330749512,36.05,12577.271879641472,27831.0
20,16,2048,ffn,1202.2876052856445,46.13,12577.271879641472,27831.0
20,16,2048,other,464.7044792175293,17.83,12577.271879641472,27831.0
20,16,2048,total,2606.530517578125,100.0,12577.271879641472,27831.0
20,16,4096,attention,2060.1784286499023,37.87,12048.052633879766,42191.2
20,16,4096,ffn,2447.779830932617,44.99,12048.052633879766,42191.2
20,16,4096,other,932.6315841674805,17.14,12048.052633879766,42191.2
20,16,4096,total,5440.58984375,100.0,12048.052633879766,42191.2
30,1,512,attention,31.8228480219841,43.32,10368.066247981893,12724.0
30,1,512,ffn,22.853631913661957,31.11,10368.066247981893,12724.0
30,1,512,other,18.777087569236755,25.56,10368.066247981893,12724.0
30,1,512,total,73.45356750488281,100.0,10368.066247981893,12724.0
30,1,2048,attention,64.59699213504791,38.42,12434.254273038687,13397.1
30,1,2048,ffn,68.64076733589172,40.82,12434.254273038687,13397.1
30,1,2048,other,34.897921681404114,20.76,12434.254273038687,13397.1
