prune_ratio,batch,seq_len,layer_type,time_ms,time_pct,throughput_tok_s,peak_vram_mb
30,16,512,other,119.84896230697632,19.8,13593.050675734527,16089.7
30,16,512,total,605.1778564453125,100.0,13593.050675734527,16089.7
30,16,2048,attention,940.7191028594971,38.71,13511.350350554105,26859.9
30,16,2048,ffn,1024.1843185424805,42.14,13511.350350554105,26859.9
30,16,2048,other,465.52065086364746,19.15,13511.350350554105,26859.9
30,16,2048,total,2430.424072265625,100.0,13511.350350554105,26859.9
30,16,4096,attention,2053.382148742676,40.53,13010.922981729049,41220.1
30,16,4096,ffn,2077.7041931152344,41.01,13010.922981729049,41220.1
30,16,4096,other,935.7549667358398,18.47,13010.922981729049,41220.1
30,16,4096,total,5066.84130859375,100.0,13010.922981729049,41220.1
5,1,512,attention,34.059263944625854,42.8,9587.54418206156,15315.1
5,1,512,ffn,26.330112040042877,33.09,9587.54418206156,15315.1
5,1,512,other,19.180547416210175,24.11,9587.54418206156,15315.1
5,1,512,total,79.5699234008789,100.0,9587.54418206156,15315.1
5,1,2048,attention,63.69587171077728,33.0,10765.769247366785,15988.2
5,1,2048,ffn,94.58995175361633,49.0,10765.769247366785,15988.2
5,1,2048,other,34.75046193599701,18.0,10765.769247366785,15988.2
5,1,2048,total,193.03628540039062,100.0,10765.769247366785,15988.2
5,1,4096,attention,134.596608877182,35.37,10815.897527185456,16885.8
5,1,4096,ffn,183.81926679611206,48.3,10815.897527185456,16885.8
5,1,4096,other,62.16804766654968,16.33,10815.897527185456,16885.8
5,1,4096,total,380.58392333984375,100.0,10815.897527185456,16885.8
5,4,512,attention,58.485759973526,30.96,11000.797575423168,15988.2
5,4,512,ffn,95.42451000213623,50.51,11000.797575423168,15988.2
5,4,512,other,34.994179487228394,18.52,11000.797575423168,15988.2
5,4,512,total,188.90444946289062,100.0,11000.797575423168,15988.2
5,4,2048,attention,235.54559993743896,32.72,11396.58001711469,18680.8
5,4,2048,ffn,364.7610864639282,50.66,11396.58001711469,18680.8
5,4,2048,other,119.66670227050781,16.62,11396.58001711469,18680.8
5,4,2048,total,719.973388671875,100.0,11396.58001711469,18680.8
5,4,4096,attention,516.7124490737915,34.89,11085.060823094978,22270.9
5,4,4096,ffn,729.87135887146,49.28,11085.060823094978,22270.9
5,4,4096,other,234.47246646881104,15.83,11085.060823094978,22270.9
5,4,4096,total,1481.0562744140625,100.0,11085.060823094978,22270.9
5,16,512,attention,216.88115119934082,30.76,11667.148068542308,18680.8
5,16,512,ffn,367.15827083587646,52.08,11667.148068542308,18680.8
5,16,512,other,120.93439388275146,17.15,11667.148068542308,18680.8
5,16,512,total,704.9738159179688,100.0,11667.148068542308,18680.8
5,16,2048,attention,945.615873336792,33.3,11555.179196124034,29451.0
5,16,2048,ffn,1426.7299919128418,50.24,11555.179196124034,29451.0
5,16,2048,other,467.5664882659912,16.46,11555.179196124034,29451.0
5,16,2048,total,2839.912353515625,100.0,11555.179196124034,29451.0
5,16,4096,attention,2038.969337463379,34.67,11155.776827824186,43811.2
5,16,4096,ffn,2904.536064147949,49.39,11155.776827824186,43811.2
5,16,4096,other,937.3153991699219,15.94,11155.776827824186,43811.2
5,16,4096,total,5880.82080078125,100.0,11155.776827824186,43811.2
