prune_ratio,batch,seq_len,layer_type,time_ms,time_pct,throughput_tok_s,peak_vram_mb
10,16,2048,other,511.75432777404785,16.5,10565.990537838647,28911.0
10,16,2048,total,3102.09033203125,100.0,10565.990537838647,28911.0
10,16,4096,attention,2287.687675476074,35.47,10185.83568106578,43271.2
10,16,4096,ffn,3132.870651245117,48.58,10185.83568106578,43271.2
10,16,4096,other,1028.4963607788086,15.95,10185.83568106578,43271.2
10,16,4096,total,6449.0546875,100.0,10185.83568106578,43271.2
20,1,512,attention,24.119296073913574,38.44,9221.519248684235,13695.1
20,1,512,ffn,24.57395190000534,39.16,9221.519248684235,13695.1
20,1,512,other,14.054398357868195,22.4,9221.519248684235,13695.1
20,1,512,total,62.74764633178711,100.0,9221.519248684235,13695.1
20,1,2048,attention,71.21920013427734,36.15,10428.833236077753,14368.2
20,1,2048,ffn,90.38643002510071,45.88,10428.833236077753,14368.2
20,1,2048,other,35.415045499801636,17.98,10428.833236077753,14368.2
20,1,2048,total,197.0206756591797,100.0,10428.833236077753,14368.2
20,1,4096,attention,149.821439743042,38.43,10493.592483014276,15265.8
20,1,4096,ffn,174.28787422180176,44.7,10493.592483014276,15265.8
20,1,4096,other,65.786865234375,16.87,10493.592483014276,15265.8
20,1,4096,total,389.89617919921875,100.0,10493.592483014276,15265.8
20,4,512,attention,65.39673590660095,34.02,10760.788089140473,14368.2
20,4,512,ffn,90.98342442512512,47.33,10760.788089140473,14368.2
20,4,512,other,35.84818744659424,18.65,10760.788089140473,14368.2
20,4,512,total,192.2283477783203,100.0,10760.788089140473,14368.2
20,4,2048,attention,262.67238426208496,35.62,11108.84284487201,17060.8
20,4,2048,ffn,344.7255058288574,46.74,11108.84284487201,17060.8
20,4,2048,other,130.08587455749512,17.64,11108.84284487201,17060.8
20,4,2048,total,737.4837646484375,100.0,11108.84284487201,17060.8
20,4,4096,attention,575.6713008880615,37.95,10798.11574437301,20650.9
20,4,4096,ffn,686.5336380004883,45.26,10798.11574437301,20650.9
20,4,4096,other,254.5366382598877,16.78,10798.11574437301,20650.9
20,4,4096,total,1516.7415771484375,100.0,10798.11574437301,20650.9
20,16,512,attention,240.53452920913696,33.62,11425.33977596523,17060.8
20,16,512,ffn,345.1002883911133,48.23,11425.33977596523,17060.8
20,16,512,other,129.85346364974976,18.15,11425.33977596523,17060.8
20,16,512,total,715.48828125,100.0,11425.33977596523,17060.8
20,16,2048,attention,1061.5756816864014,36.37,11230.186234145733,27831.0
20,16,2048,ffn,1345.3322296142578,46.1,11230.186234145733,27831.0
20,16,2048,other,511.5923328399658,17.53,11230.186234145733,27831.0
20,16,2048,total,2918.500244140625,100.0,11230.186234145733,27831.0
20,16,4096,attention,2297.476089477539,37.78,10769.301402961552,42191.2
20,16,4096,ffn,2754.4084701538086,45.29,10769.301402961552,42191.2
20,16,4096,other,1029.7990341186523,16.93,10769.301402961552,42191.2
20,16,4096,total,6081.68359375,100.0,10769.301402961552,42191.2
30,1,512,attention,24.040448129177094,39.37,9483.526809646455,12724.0
30,1,512,ffn,23.16595184803009,37.94,9483.526809646455,12724.0
30,1,512,other,13.858816087245941,22.7,9483.526809646455,12724.0
30,1,512,total,61.065216064453125,100.0,9483.526809646455,12724.0
30,1,2048,attention,71.48339223861694,39.1,11202.034728564728,13397.1
30,1,2048,ffn,75.54662442207336,41.32,11202.034728564728,13397.1
30,1,2048,other,35.79801678657532,19.58,11202.034728564728,13397.1
30,1,2048,total,182.82803344726562,100.0,11202.034728564728,13397.1
30,1,4096,attention,149.74771070480347,40.76,11147.650901357898,14294.6
30,1,4096,ffn,151.09324836730957,41.12,11147.650901357898,14294.6
30,1,4096,other,66.56306314468384,18.12,11147.650901357898,14294.6
30,1,4096,total,367.4040222167969,100.0,11147.650901357898,14294.6
30,4,512,attention,65.69676792621613,36.97,11638.666277490549,13397.1
30,4,512,ffn,76.18559885025024,42.87,11638.666277490549,13397.1
30,4,512,other,35.82258927822113,20.16,11638.666277490549,13397.1
